iter	RMSE
0	4493.052832
1	4394.248088
2	4307.838739
3	4218.015884
4	4142.033485
5	4053.359708
6	3972.081188
7	3895.208
8	3825.061289
9	3759.503876
10	3696.141158
11	3620.320069
12	3558.010649
13	3508.994134
14	3446.865229
15	3393.459093
16	3340.235071
17	3296.887944
18	3252.987825
19	3221.350067
20	3185.266198
21	3146.426236
22	3109.208663
23	3071.799986
24	3038.418388
25	2997.810857
26	2962.387141
27	2933.486782
28	2901.093338
29	2873.988734
30	2848.402548
31	2819.498563
32	2784.88608
33	2761.775655
34	2739.438454
35	2717.547255
36	2698.748243
37	2673.932834
38	2657.440297
39	2642.497849
40	2615.85209
41	2597.891086
42	2574.149517
43	2560.509895
44	2547.07048
45	2527.372955
46	2515.819261
47	2497.395969
48	2482.782036
49	2469.508084
50	2454.25446
51	2445.305947
52	2434.677661
53	2421.089749
54	2407.477434
55	2393.761858
56	2387.253595
57	2379.865952
58	2368.386042
59	2359.27694
60	2351.18924
61	2344.686063
62	2337.849213
63	2331.020676
64	2325.978737
65	2314.581527
66	2304.333216
67	2299.61193
68	2297.519928
69	2292.318246
70	2288.436322
71	2281.597888
72	2273.337769
73	2269.855074
74	2261.665367
75	2258.877301
76	2250.583041
77	2243.678476
78	2235.508533
79	2229.574393
80	2226.749586
81	2223.73503
82	2214.670273
83	2206.526517
84	2199.605579
85	2193.27053
86	2191.175233
87	2188.150775
88	2180.109491
89	2173.010022
90	2165.608502
91	2158.8448
92	2154.052666
93	2150.733983
94	2146.280786
95	2141.434094
96	2136.976375
97	2131.449624
98	2126.931026
99	2124.38631
100	2119.523634
101	2118.093896
102	2113.39815
103	2107.779647
104	2103.833903
105	2100.429728
106	2097.761458
107	2095.317021
108	2090.541411
109	2084.655064
110	2079.586764
111	2076.243629
112	2072.976903
113	2065.942841
114	2063.009372
115	2061.060222
116	2056.004543
117	2051.519636
118	2047.122681
119	2045.053485
120	2041.873746
121	2039.52414
122	2037.829704
123	2033.988109
124	2032.337168
125	2028.365334
126	2023.547397
127	2019.873926
128	2017.71475
129	2015.47175
130	2011.698301
131	2008.914554
132	2004.12887
133	2001.02948
134	1998.850245
135	1996.137554
136	1994.047231
137	1992.404786
138	1988.391536
139	1983.423437
140	1980.072746
141	1975.005195
142	1969.203616
143	1965.904104
144	1962.774309
145	1959.067118
146	1954.885659
147	1953.950087
148	1951.181804
149	1948.795824
150	1946.432175
151	1943.37828
152	1940.619851
153	1938.682872
154	1936.690075
155	1934.466238
156	1930.642302
157	1926.100409
158	1922.832701
159	1920.577077
160	1916.573996
161	1912.763486
162	1910.738542
163	1908.484295
164	1907.371851
165	1903.471275
166	1899.664221
167	1897.163435
168	1895.354716
169	1893.756177
170	1892.071674
171	1887.741863
172	1885.291728
173	1881.391206
174	1879.263668
175	1876.876043
176	1873.65584
177	1872.863857
178	1870.880899
179	1869.129912
180	1866.34575
181	1864.267685
182	1860.946057
183	1860.204126
184	1857.95567
185	1854.15706
186	1852.369524
187	1851.114519
188	1849.467497
189	1847.056176
190	1844.700789
191	1843.660452
192	1842.750314
193	1840.292318
194	1837.084187
195	1834.035738
196	1831.122554
197	1828.637147
198	1826.187558
199	1823.906084
200	1821.716208
201	1818.904599
202	1817.36106
203	1813.644121
204	1811.51589
205	1808.696342
206	1804.892256
207	1803.268288
208	1802.227915
209	1798.990963
210	1796.889825
211	1794.189667
212	1791.833195
213	1789.256356
214	1787.014012
215	1784.701596
216	1781.887433
217	1779.574674
218	1775.991299
219	1773.623748
220	1771.220912
221	1769.529919
222	1767.408416
223	1765.559825
224	1762.771928
225	1760.79554
226	1758.350312
227	1757.134794
228	1754.973669
229	1752.369716
230	1750.669336
231	1749.152595
232	1747.312401
233	1745.433874
234	1742.864509
235	1742.338453
236	1740.051881
237	1738.452178
238	1735.962775
239	1733.904131
240	1732.02653
241	1730.59201
242	1728.080581
243	1725.71001
244	1722.829693
245	1720.528619
246	1718.775668
247	1716.725492
248	1714.39762
249	1713.16054
250	1711.583558
251	1709.940464
252	1708.869782
253	1707.669827
254	1706.740441
255	1704.170667
256	1702.691582
257	1701.707223
258	1700.174763
259	1699.486744
260	1697.943214
261	1695.680785
262	1693.807239
263	1692.467556
264	1691.011493
265	1688.315414
266	1685.756302
267	1683.351249
268	1682.764074
269	1682.27694
270	1681.387706
271	1679.538906
272	1678.156478
273	1675.461823
274	1673.633738
275	1672.117114
276	1670.165637
277	1668.647379
278	1666.665544
279	1665.589136
280	1663.148091
281	1661.933326
282	1660.629578
283	1659.055745
284	1657.738789
285	1655.902408
286	1654.423581
287	1653.565323
288	1652.038888
289	1648.349758
290	1647.206965
291	1645.622804
292	1643.452113
293	1642.626396
294	1640.927104
295	1639.629618
296	1637.442746
297	1635.775945
298	1634.282284
299	1633.153367
300	1631.525249
301	1630.168107
302	1627.553975
303	1626.428031
304	1625.747163
305	1624.099928
306	1623.794787
307	1621.684508
308	1619.908683
309	1618.06629
310	1616.621293
311	1615.642003
312	1614.366829
313	1613.179422
314	1612.007501
315	1610.604483
316	1609.428149
317	1607.31291
318	1605.789633
319	1604.927453
320	1603.294021
321	1602.055432
322	1600.734789
323	1599.546704
324	1598.347425
325	1597.111034
326	1595.971319
327	1594.772566
328	1593.473116
329	1592.573099
330	1591.0935
331	1590.071191
332	1588.152127
333	1586.4438
334	1585.437415
335	1584.662267
336	1583.48865
337	1581.745223
338	1581.079725
339	1580.53905
340	1579.285705
341	1579.090991
342	1578.072679
343	1575.215642
344	1574.14216
345	1573.653086
346	1573.327244
347	1572.057557
348	1570.82101
349	1569.02166
350	1568.716081
351	1566.52947
352	1566.076717
353	1565.759422
354	1564.699181
355	1563.946212
356	1563.022247
357	1561.467459
358	1560.423113
359	1559.278369
360	1557.583482
361	1556.435401
362	1556.276005
363	1555.200581
364	1554.185135
365	1553.34626
366	1552.424994
367	1551.36493
368	1549.705765
369	1548.742484
370	1547.94299
371	1547.611644
372	1545.900315
373	1544.360496
374	1543.742668
375	1543.383042
376	1541.997071
377	1541.662756
378	1541.492716
379	1540.268094
380	1539.951509
381	1539.646823
382	1538.675545
383	1537.443106
384	1536.508517
385	1536.21313
386	1534.769653
387	1532.024559
388	1531.159082
389	1529.296365
390	1528.46412
391	1527.154552
392	1526.308959
393	1525.651838
394	1524.257456
395	1523.654968
396	1522.056114
397	1521.512895
398	1520.695857
399	1519.816642
400	1519.479892
401	1518.331381
402	1518.283243
403	1517.106383
404	1516.430344
405	1516.384029
406	1516.338662
407	1515.383667
408	1513.651779
409	1512.597551
410	1512.249609
411	1511.587913
412	1510.38966
413	1509.488122
414	1508.813758
415	1508.107041
416	1507.601171
417	1506.874314
418	1505.67715
419	1503.854219
420	1502.949241
421	1501.849869
422	1500.962808
423	1499.926776
424	1499.118177
425	1498.925065
426	1498.623407
427	1498.032711
428	1497.231289
429	1496.006128
430	1495.452909
431	1495.182006
432	1493.646467
433	1492.516389
434	1490.895556
435	1490.074316
436	1489.034669
437	1488.0811
438	1487.151346
439	1486.506648
440	1486.207556
441	1485.536608
442	1484.750011
443	1484.155968
444	1483.655947
445	1482.939021
446	1482.049827
447	1481.169957
448	1480.414159
449	1479.523049
450	1478.840636
451	1477.867518
452	1477.335052
453	1476.145504
454	1475.471152
455	1475.086243
456	1473.548839
457	1472.771512
458	1472.07023
459	1470.327944
460	1469.710888
461	1469.066776
462	1467.933401
463	1466.855079
464	1465.689464
465	1464.94025
466	1463.808434
467	1462.408351
468	1461.109734
469	1460.385649
470	1459.831019
471	1458.740177
472	1457.943245
473	1457.675814
474	1457.087035
475	1456.354863
476	1455.283615
477	1454.761884
478	1452.083952
479	1451.456589
480	1451.176099
481	1449.97974
482	1449.217624
483	1447.675299
484	1447.302188
485	1446.732603
486	1446.14992
487	1445.668744
488	1444.691304
489	1444.029915
490	1443.222289
491	1442.873992
492	1440.98125
493	1440.288416
494	1439.478887
495	1438.045068
496	1437.731279
497	1436.917231
498	1436.416493
499	1436.140216
